"name","main_category","ratings","discount_price","actual_price"
MMTC-PAMP Lotus 999.9 / 24K 1 gm Yellow Gold Bar,accessories,4.6,6980.0,7000.0
Skechers Mens GO Walk Arch FIT-Linear AXIS Shoes,men's shoes,4.6,8995.0,8999.0
Nike Air Max Pre-Day Men's Shoe,men's shoes,4.6,11490.0,11495.0
ASICS Mens Gt-2000 10 Platform,men's shoes,4.6,11890.0,11999.0
"Vanguard Camera Backpack |VEO Select 49 BF I 1-2 Pro DSLRs with Lens Upto 70-200mm, 3-4 Lenses, Flash and Accessories I Up...",accessories,4.6,12140.0,12142.0
Bangalore Refinery 24k (999.9) 2 gm Yellow Gold Bar,accessories,4.6,13145.0,13200.0
"Bangalore Refinery 10 gm, 24k (999) Yellow Gold Lakshmi Coin",accessories,4.6,64749.0,65000.0
Candere - A Kalyan Jewellers Company 24K (999) 10 Gm Yellow Gold Coin,accessories,4.6,64978.0,65208.0
"Van Heusen Men Trunks - Cotton Elastane - Anti Bacterial, Colour Fresh , Quick Dry",men's clothing,4.5,358.0,359.0
"Van Heusen Men Trunks - Cotton Elastane - Colour Fresh, Label Free, Elasticized Waistband",men's clothing,4.5,458.0,459.0
Jack & Jones Men's Trunks,men's clothing,4.5,497.0,499.0
"SEGA World Cup Edition Shoes Star Impact PVT LTD (Green, Numeric_7)",men's shoes,4.5,745.0,750.0
"Kuber Industries 24 Piece Non Woven Travel Shoe Cover, String Bag Organizer, Maroon -CTMTC039525",accessories,4.5,796.0,799.0
Liberty Womens Tigoz-n Running Shoes,men's shoes,4.5,1038.9,1049.0
Bon Organik World's Best Daughter World's Best Father Tees Best Family Matching Dad and Daughter Tshirts Cotton T-Shirt Se...,men's clothing,4.5,1194.0,1199.0
DSC Court 44 Badminton Shoes for Men and Boys with Natural Crape Rubber Non Marking Outsole Size-7 (Navy-Orange),men's shoes,4.5,1390.0,1399.0
Q&Q Analog Black Dial Women's Watch-QB85J302Y,accessories,4.5,1440.0,1450.0
